Loss_Adversary	Loss_Target	
-0.3086	0.1061	0.7895	
-0.3089	0.1164	0.8022	
-0.3082	0.0976	0.7789	
-0.3087	0.1144	0.7995	
-0.3087	0.1104	0.7949	
-0.3085	0.1013	0.7839	
-0.3087	0.1092	0.7934	
-0.3084	0.1028	0.7853	
-0.3086	0.1072	0.7908	
-0.3086	0.1130	0.7977	
-0.3085	0.1141	0.7986	
-0.3085	0.1016	0.7841	
-0.3088	0.1237	0.8104	
-0.3081	0.0998	0.7812	
-0.3086	0.1154	0.8003	
-0.3084	0.1079	0.7912	
-0.3085	0.1126	0.7970	
-0.3086	0.1096	0.7935	
-0.3086	0.1077	0.7914	
-0.3088	0.1204	0.8066	
-0.3084	0.1025	0.7851	
-0.3088	0.1183	0.8042	
-0.3086	0.1070	0.7906	
-0.3083	0.1058	0.7887	
-0.3084	0.1073	0.7905	
-0.3085	0.1014	0.7838	
-0.3088	0.1230	0.8097	
-0.3084	0.1049	0.7878	
-0.3086	0.1275	0.8144	
-0.3087	0.1085	0.7927	
-0.3087	0.1088	0.7930	
-0.3082	0.1020	0.7839	
-0.3084	0.1118	0.7958	
-0.3084	0.1035	0.7860	
-0.3088	0.1130	0.7980	
-0.3083	0.0998	0.7817	
-0.3087	0.1156	0.8010	
-0.3085	0.1080	0.7916	
-0.3088	0.1099	0.7943	
-0.3084	0.1102	0.7940	
-0.3086	0.1172	0.8026	
-0.3083	0.1039	0.7864	
-0.3086	0.1197	0.8054	
-0.3084	0.1056	0.7886	
-0.3084	0.1060	0.7891	
-0.3087	0.1175	0.8030	
-0.3084	0.1046	0.7875	
-0.3087	0.1123	0.7970	
-0.3083	0.1011	0.7831	
-0.3088	0.1112	0.7960	
-0.3085	0.1034	0.7861	
-0.3086	0.1201	0.8057	
-0.3087	0.1060	0.7898	
-0.3089	0.1115	0.7964	
-0.3086	0.1061	0.7896	
-0.3085	0.1072	0.7906	
-0.3086	0.1126	0.7972	
-0.3080	0.0999	0.7811	
-0.3085	0.1091	0.7928	
-0.3087	0.1248	0.8115	
-0.3084	0.1028	0.7853	
-0.3088	0.1207	0.8070	
-0.3083	0.0971	0.7783	
-0.3087	0.1164	0.8018	
-0.3085	0.1131	0.7976	
-0.3085	0.1139	0.7983	
-0.3081	0.1035	0.7856	
-0.3085	0.1111	0.7951	
-0.3086	0.1062	0.7896	
-0.3086	0.1137	0.7985	
-0.3085	0.1087	0.7923	
-0.3085	0.1056	0.7889	
-0.3087	0.1165	0.8019	
-0.3083	0.1068	0.7897	
-0.3087	0.1104	0.7948	
-0.3086	0.1098	0.7938	
-0.3083	0.1000	0.7817	
-0.3086	0.1080	0.7919	
-0.3085	0.1062	0.7895	
-0.3085	0.1080	0.7915	
-0.3086	0.1168	0.8021	
-0.3084	0.1052	0.7882	
-0.3087	0.1271	0.8142	
-0.3083	0.0998	0.7816	
-0.3090	0.1174	0.8035	
-0.3085	0.1052	0.7884	
-0.3083	0.1098	0.7932	
-0.3083	0.1103	0.7938	
-0.3086	0.1076	0.7912	
-0.3087	0.1129	0.7976	
-0.3084	0.1018	0.7843	
-0.3084	0.1033	0.7859	
-0.3088	0.1085	0.7928	
-0.3085	0.1075	0.7910	
-0.3086	0.1286	0.8157	
-0.3084	0.1019	0.7841	
-0.3085	0.1031	0.7859	
-0.3090	0.1130	0.7983	
-0.3082	0.0977	0.7789	
-0.3088	0.1162	0.8017	
-0.3085	0.1078	0.7914	
-0.3086	0.1047	0.7880	
-0.3088	0.1160	0.8015	
-0.3080	0.0985	0.7795	
-0.3087	0.1109	0.7955	
-0.3082	0.0995	0.7811	
-0.3087	0.1126	0.7973	
-0.3086	0.1094	0.7935	
-0.3084	0.1000	0.7820	
-0.3089	0.1210	0.8074	
-0.3080	0.0990	0.7802	
-0.3087	0.1169	0.8024	
-0.3087	0.1122	0.7969	
-0.3084	0.1023	0.7846	
-0.3086	0.1222	0.8083	
-0.3080	0.0981	0.7790	
-0.3086	0.1139	0.7985	
-0.3087	0.1131	0.7980	
-0.3087	0.1119	0.7965	
-0.3089	0.1142	0.7996	
-0.3086	0.1059	0.7893	
-0.3086	0.1095	0.7937	
-0.3081	0.0986	0.7799	
-0.3087	0.1205	0.8064	
-0.3083	0.1019	0.7840	
-0.3085	0.1036	0.7864	
-0.3087	0.1070	0.7908	
-0.3085	0.1079	0.7914	
-0.3084	0.1040	0.7867	
-0.3087	0.1155	0.8007	
-0.3087	0.1142	0.7992	
-0.3085	0.1053	0.7885	
-0.3085	0.1084	0.7919	
-0.3086	0.1118	0.7963	
-0.3086	0.1078	0.7916	
-0.3088	0.1114	0.7962	
-0.3085	0.1121	0.7964	
-0.3086	0.1157	0.8009	
-0.3080	0.1009	0.7823	
-0.3087	0.1168	0.8022	
-0.3084	0.0999	0.7820	
-0.3089	0.1150	0.8005	
-0.3085	0.1067	0.7900	
-0.3084	0.1034	0.7861	
-0.3086	0.1041	0.7873	
-0.3087	0.1147	0.7996	
-0.3084	0.1024	0.7848	
-0.3089	0.1159	0.8016	
-0.3088	0.1146	0.7998	
-0.3086	0.1163	0.8013	
-0.3088	0.1130	0.7980	
-0.3087	0.1148	0.7998	
-0.3087	0.1102	0.7944	
-0.3086	0.1089	0.7929	
-0.3086	0.1034	0.7864	
